ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_tracker_albedo_index,interpolated_keys_wind_direction_degrees,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2024-03-26T00:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T00:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T00:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T00:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T01:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T01:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T01:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T01:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T02:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T02:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T02:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T02:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T03:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T03:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T03:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T03:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T04:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T04:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T04:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T04:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T05:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T05:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T05:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T05:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T06:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T06:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T06:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T06:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T07:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T07:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T07:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
,,2024-03-26T07:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,PS_004,,,
